Package Lines of code metrics,,,,,,
Package,Lines Of Code,Lines Of Code (recursive),Lines Of Product Code,Lines Of Product Code (recursive),,
,n/a,1926,n/a,1926,,
Controller,1424,1424,1424,1424,,
Models,249,249,249,249,,
View,253,253,253,253,,
Total,1926.0,,1926.0,,,
Average,642.0,,642.0,,,
,,,,,,
FileType Lines Of Code Metrics,,,,,,
FileType,Lines Of Code,Not Comented LOC,,,,
Java,1692,1368,,,,
XML,234,234,,,,
Total,1926.0,1602.0,,,,
Average,963.0,801.0,,,,
,,,,,,
Project Lines Of Code,,,,,,
Module,Lines Of Java,Lines Of XML,Lines Of Code,Lines Of Product Code,Not Comented Lines Of Code(Product),Not Comented Lines Of Code(Product)
MegaTrabalhoDeCG_2.0,1692,234,1926,1926,1602,1602
